date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2016-06-30 00:00:00+00:00,90.6235306576,703.53,48.0271969145,196.6929622392,32.3537642051,17.5079651727,61.7570021878
2016-07-29 00:00:00+00:00,98.7853360861,791.34,53.1987789938,203.8714689646,34.0910370502,18.1169711807,60.9787046808
2016-08-31 00:00:00+00:00,101.1184543449,789.85,54.2688791424,204.115603922,34.3970607222,18.8140723974,62.0013514051
2016-09-30 00:00:00+00:00,107.7421419764,804.06,54.4011040481,204.1314980221,35.2633431165,18.2723298948,64.2907683383
2016-10-31 00:00:00+00:00,108.2091357806,809.9,56.5922596278,200.592463729,34.971443614,18.6889011463,62.4788630983
2016-11-30 00:00:00+00:00,105.8775796157,775.88,57.2904150872,207.9819673329,33.427201085,21.311406525,67.7688979949
2016-12-30 00:00:00+00:00,110.9549517833,792.45,59.0777695572,212.2005084678,33.3445102518,22.1125907595,68.9399039642
2017-01-31 00:00:00+00:00,116.2526627431,820.19,61.4640779188,215.9977707318,35.5636678892,22.1696555099,66.7248937731
2017-02-28 00:00:00+00:00,131.8006028115,844.93,61.1944882261,224.4846518919,36.1827462001,23.339482892,65.3336477026
2017-03-31 00:00:00+00:00,138.2179326951,847.8,62.9926382396,224.7670689165,37.5161456389,22.6502495544,64.3630845212
2017-04-28 00:00:00+00:00,138.2083115108,924.52,65.4794414498,226.9981495192,38.1542725132,22.4593498532,62.4662611433
2017-05-31 00:00:00+00:00,147.5746596654,987.09,67.1746914473,230.2017524358,39.2400406277,22.1920902714,60.2563698292
2017-06-30 00:00:00+00:00,139.1313333662,929.68,66.2994198376,231.6691285953,39.6054197378,23.6376924265,60.1825210062
2017-07-31 00:00:00+00:00,143.6814554336,945.5,69.9255450776,236.4308968712,41.9115096524,24.0401176726,61.7584650252
2017-08-31 00:00:00+00:00,159.0757523441,955.24,72.2996048034,237.1207305047,42.8970999479,23.666437087,58.3748205139
2017-09-29 00:00:00+00:00,149.4924082395,973.72,72.0288559824,241.8965645556,42.8779622723,24.8811552009,64.3171290584
